酒店名称,酒店地址
浙勤金茂大饭店(浙江省经贸培训中心店),浙江省杭州市建德市新电路37号
浙江经贸大楼,杭州市下城区延安路468号
浙江经贸职业技术学院,浙江省杭州江干区下沙高教园东区学林街280号
青蒲酒店,浙江省杭州市萧山区商贸街1140号
浙江新世纪经贸专修学院,浙江省杭州市余杭区天目山西路355号
浙江经贸职业技术学院-东门,浙江省杭州市江干区文淙路127-1号
浙江经贸职业技术学院,浙江省杭州西湖区文一路109附近
浙江经贸职业技术学院-餐厅,浙江省杭州市江干区学源街229附近
经贸酒店,中赢康康谷春晓路61号
靖江鹏远酒店,浙江省杭州市萧山区靖江商贸街217号
浙勤金茂大饭店(浙江省经贸培训中心店),浙江省杭州市建德市新电路37号
浙江经贸大楼,杭州市下城区延安路468号
浙江经贸职业技术学院,浙江省杭州江干区下沙高教园东区学林街280号
青蒲酒店,浙江省杭州市萧山区商贸街1140号
浙江新世纪经贸专修学院,浙江省杭州市余杭区天目山西路355号
浙江经贸职业技术学院-东门,浙江省杭州市江干区文淙路127-1号
浙江经贸职业技术学院,浙江省杭州西湖区文一路109附近
浙江经贸职业技术学院-餐厅,浙江省杭州市江干区学源街229附近
经贸酒店,中赢康康谷春晓路61号
靖江鹏远酒店,浙江省杭州市萧山区靖江商贸街217号
浙江经贸职业技术学院-餐厅,浙江省杭州市江干区学源街229附近
经贸酒店,中赢康康谷春晓路61号
靖江鹏远酒店,浙江省杭州市萧山区靖江商贸街217号
浙江经贸大楼停车场(凤起路),浙江省杭州市下城区延安路468号浙江影时代酒店
杭州万佳快捷酒店,浙江省杭州市余杭区临平商贸城新世纪五金机电市场综合楼1号
如家酒店(高沙地铁站店),杭州市江干区天城东路80号
诚之城酒店,浙江省杭州市余杭区临平兴国路197号
航鑫精品酒店,浙江省杭州市萧山区靖江街道商贸街1138号
TEL茶砚酒店,学源街239号浙江经贸学院北门
海外海酒店用品市场,石祥路589号海外海杭州商城2层
汉庭酒店(杭州中泰路店),杭州市余杭区中泰路405-1号
浙江经贸职业技术学院-北2门,浙江省杭州市江干区学源街239号杭州品江商务酒店附近
留下商贸中心,杭州市西湖区留下大街107号
凌洲酒店,浙江省杭州市桐庐县富春江镇芝夏商贸街198号凌洲宾馆4楼
杭州赛菲尔商务酒店,浙江省杭州市萧山区临江新城纬六路
圣都装饰(杭州总部海外海旗舰店),杭州市拱墅区石祥路589号海外海商城3楼
浙江省经贸国际展览中心,凤起路361号国都商务大厦18层
浙江正格商贸有限公司,保俶路76号友谊综合楼A楼
必胜客(湖滨商贸店),杭州市上城区东坡路2号
越泰快捷酒店(城北商贸园店),浙江省杭州市西湖区古墩路城北商贸园27幢101室
汉庭酒店(杭州中泰路店),杭州市余杭区中泰路405-1号
浙江经贸职业技术学院-北2门,浙江省杭州市江干区学源街239号杭州品江商务酒店附近
留下商贸中心,杭州市西湖区留下大街107号
凌洲酒店,浙江省杭州市桐庐县富春江镇芝夏商贸街198号凌洲宾馆4楼
杭州赛菲尔商务酒店,浙江省杭州市萧山区临江新城纬六路
圣都装饰(杭州总部海外海旗舰店),杭州市拱墅区石祥路589号海外海商城3楼
浙江省经贸国际展览中心,凤起路361号国都商务大厦18层
浙江正格商贸有限公司,保俶路76号友谊综合楼A楼
必胜客(湖滨商贸店),杭州市上城区东坡路2号
越泰快捷酒店(城北商贸园店),浙江省杭州市西湖区古墩路城北商贸园27幢101室
汉庭酒店(杭州中泰路店),杭州市余杭区中泰路405-1号
浙江经贸职业技术学院-北2门,浙江省杭州市江干区学源街239号杭州品江商务酒店附近
留下商贸中心,杭州市西湖区留下大街107号
凌洲酒店,浙江省杭州市桐庐县富春江镇芝夏商贸街198号凌洲宾馆4楼
杭州赛菲尔商务酒店,浙江省杭州市萧山区临江新城纬六路
圣都装饰(杭州总部海外海旗舰店),杭州市拱墅区石祥路589号海外海商城3楼
浙江省经贸国际展览中心,凤起路361号国都商务大厦18层
浙江正格商贸有限公司,保俶路76号友谊综合楼A楼
必胜客(湖滨商贸店),杭州市上城区东坡路2号
越泰快捷酒店(城北商贸园店),浙江省杭州市西湖区古墩路城北商贸园27幢101室
机场大酒店(靖江店),浙江省杭州市萧山区商贸街133号
越泰快捷酒店(城北商贸园店),浙江省杭州市西湖区古墩路城北商贸园27幢101室
杭州商贸旅馆,浙江省杭州市萧山区商贸街188号
OYO潮旅商务酒店(客运中心地铁站商贸路店),杭州市江干区商杭街与仁爱路交叉路口东南侧(九堡三区)
浙江省经贸培训中心-会议厅,新电路37
卓美城市主题酒店,浙江省杭州市西湖区古墩路城北商贸园40栋
OYO金九酒店(商贸路店),杭州市江干区商杭街与仁爱路交叉路口往西约50米(九堡三区)
圣都装饰(杭州总部海外海旗舰店),杭州市拱墅区石祥路589号海外海商城3楼
小美纯K小爱酒店,浙江省杭州市江干区4号大街下沙商贸城1号2幢三层
浙江经贸职业技术学院-北1门,学源街171号附近
机场大酒店(靖江店),浙江省杭州市萧山区商贸街133号
越泰快捷酒店(城北商贸园店),浙江省杭州市西湖区古墩路城北商贸园27幢101室
杭州商贸旅馆,浙江省杭州市萧山区商贸街188号
OYO潮旅商务酒店(客运中心地铁站商贸路店),杭州市江干区商杭街与仁爱路交叉路口东南侧(九堡三区)
浙江省经贸培训中心-会议厅,新电路37
卓美城市主题酒店,浙江省杭州市西湖区古墩路城北商贸园40栋
OYO金九酒店(商贸路店),杭州市江干区商杭街与仁爱路交叉路口往西约50米(九堡三区)
圣都装饰(杭州总部海外海旗舰店),杭州市拱墅区石祥路589号海外海商城3楼
小美纯K小爱酒店,浙江省杭州市江干区4号大街下沙商贸城1号2幢三层
浙江经贸职业技术学院-北1门,学源街171号附近
浙江省经贸培训中心(建德金茂大饭店)-洗手间,杭州市建德市新电路37号金茂宾馆
麦都快捷酒店(东洲店),浙江省杭州市富阳区东洲商贸城上徐家45号快乐购超市楼上
怡莱精品酒店(东南商贸中心店),浙江省杭州市富阳区新兴路12号
浙江结庐商贸有限公司,杭州市上城区杭州红楼大酒店一楼大厅
南苑e家酒店(临平商贸城店),浙江省杭州市余杭区临平商贸城望梅路582号新世纪五金机电市场
新世纪五金机电市场,临平望梅路580号临平商贸城
必胜客(湖滨商贸店),杭州市上城区东坡路2号
万盛商贸城公寓,塘栖镇钱江经济开发区顺风路与康信路交汇处
银沙公寓,浙江省杭州市江干区金沙大道1800号
经贸大厦,浙江省杭州市萧山区市心南路181号
浙江中澜商贸有限公司,海运国际A座905室
浙江正格商贸有限公司,保俶路76号友谊综合楼A楼
肯德基(西溪留下店),留下大街107号
杭州航银酒店,浙江省杭州市萧山区靖江路商贸街81号(老百姓超市斜对面)
浙江省经贸国际展览中心,凤起路361号国都商务大厦18层
红楼旅馆,浙江省杭州市建德市更楼商贸街141号
静心旅社,浙江省杭州市建德市更楼商贸街139号
城南宾馆(更楼商贸街店),杭州市建德市汇丰中路与黄张线交叉路口往东约50米(更楼幼儿园西北侧)
中国移动(西湖留下街营业厅),杭州市西湖区留下大街107号留下商贸中心一楼(肯德基隔壁)
留下来筒骨砂锅(留下店),浙江省杭州市西湖区留下街道107号留下商贸中心
圣杭宾馆(商贸路),杭州市江干区商杭街与杭乔路交叉路口东北侧(九堡三区)
海棠商务客房,浙江省杭州市萧山区商贸街480
杭敏宾馆,浙江省杭州市西湖区古墩路城北商贸园45幢112号
中国邮政(九堡邮政所),杭州市江干区商贸路12号
刚鑫客房,浙江省杭州市萧山区新湾商贸城23号楼
一品旅馆(商贸街店),杭州市萧山区商贸街与塘北中路交叉路口往北约100米(萧山瓜沥内科诊所)
杭州城管驿站,浙江省杭州市江干区商贸路11号附近
星月旅馆(城北商贸园西北),古墩路819号华东陶瓷建材市场
杭州沐晨旅馆,浙江省杭州市萧山区商贸路709号
长联农家乐(杭州友爱路商贸路口店),浙江省杭州市江干区辉埠镇路里坑村东山脚11号
黎明青年公寓,浙江省杭州市萧山区商贸街329-2号
商贸公寓-10号楼,浙江省杭州市萧山区商贸公寓东区
商贸公寓-22号楼,浙江省杭州市萧山区商贸公寓22号楼(利源路北)
杭州知寓公寓,浙江省杭州江干区银沙商贸城
品江生活超市,杭州市江干区下沙街道学源街239号(浙江经贸学院北门)品江商务酒店内
安怡客公寓,浙江省杭州市萧山区商贸街2附近
商贸公寓-13号楼,浙江省杭州市萧山区商贸公寓
商贸公寓-30号楼,浙江省杭州市萧山区商贸公寓30号楼(瓜渔线东70米)
萧山区靖江街道黎明社区互联网+旅馆氏出租房管理总台,浙江省杭州市萧山区商贸街227西北100米
